review_id	asin	reviewer_id	category	sentence	tip	type	standalone	before/after	extend_position
6736	B000EGZ40G	ACHSHGM2IJOAP	Baby	So far we really like this thing.	0				
6736	B000EGZ40G	ACHSHGM2IJOAP	Baby	We had a cluttered mess of bottles and bags taking up a half a shelf in our fridge and I got sick of it so I went looking for a solution.	0				
6736	B000EGZ40G	ACHSHGM2IJOAP	Baby	This seems to fit the bill pretty well.	0				
6736	B000EGZ40G	ACHSHGM2IJOAP	Baby	I like the first in/first out setup.	0				
6736	B000EGZ40G	ACHSHGM2IJOAP	Baby	The bottles are nothing too amazing, I wish the caps had a rubber seal like a coke bottle or something so you didnt have to stick that plastic cap in there first, but I guess its not that big of a deal.	0				
6736	B000EGZ40G	ACHSHGM2IJOAP	Baby	Havent had any leak yet.	0				
6736	B000EGZ40G	ACHSHGM2IJOAP	Baby	They will hold about 5 ounces tops, so I dont know what happens when your kid eats more than that.	0				
6736	B000EGZ40G	ACHSHGM2IJOAP	Baby	One rack with 5 oz bottles and another with less?	0				
7183	B0013SQ5NO	AZNS7TH82KH9K	Baby	I purchased this bottle in the hopes that it would be something my little one would take.	0				
7183	B0013SQ5NO	AZNS7TH82KH9K	Baby	We never tried it out because we found a bottle he liked before it arrived.	0				
7183	B0013SQ5NO	AZNS7TH82KH9K	Baby	We received a pink one with flowers on it.	0				
7183	B0013SQ5NO	AZNS7TH82KH9K	Baby	Not what I would have chosen, not a huge deal, but if you are concerned about gendered products this is important to note.	0				
7183	B0013SQ5NO	AZNS7TH82KH9K	Baby	The worst part is I cant return it even thought its still in its packaging.	0				
7183	B0013SQ5NO	AZNS7TH82KH9K	Baby	So now I have an unused, unneeded, pink bottle sitting around.	0				
7229	B00165TVXA	A2WMFVYZ1B4CTL	Sports & Outdoors	I purchased used mountain bikes for my girls and decided to upgrade all of their components with Shimano equipment (FD-M90 front derailleur, a Shimano Alivio M410-SGS Rear Derailleur, Shimano ST-EF65 brake/shifters, and Avenir 2D MTN grips) .	0				
7229	B00165TVXA	A2WMFVYZ1B4CTL	Sports & Outdoors	After replacing stock shifters, grips and front and rear derailleurs, my girls have bikes with better components than mine.	0				
7229	B00165TVXA	A2WMFVYZ1B4CTL	Sports & Outdoors	Plus, their bikes are now very easy to use and should last for years.	0				
7229	B00165TVXA	A2WMFVYZ1B4CTL	Sports & Outdoors	The Avenir grips were fairly easy to install (the trick is to use an air compressor to get them on) and are much more comfortable than the stock grips.	1	First time use	yes	before	
7229	B00165TVXA	A2WMFVYZ1B4CTL	Sports & Outdoors	Would definitely recommend them.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	This is the answer to your all your power supply needs.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	If you own more than 1 pedal (and we all do) You need this.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	It powers my Wah and all my stomp boxes with 1 plug.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	It comes with all the different power plug options and a daisy chain for 5 pedals.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	It has the adapters to power pedals without a place to plug in by attaching the battery snap to the battery place on the pedal then pluging into the daisychain.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	It also has the pin plugs to attach to the daisychain for pedals that require that kind of plug in.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	and it has a 10 foot lead wire so you can reach out to your pedals or pedalboard without having to drag a heavy extension cord across the stage to trip on while your playing.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	youll save enough money to pay for it in no time, not having to buy batteries.	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	Get it, youll love it!	0				
6503	B0002GZLZQ	A1N06X05VZWO5Y	Musical Instruments	I	0				
7518	B001TMQ62Y	A14ICB6J8VKTA4	Baby	I bought the sweet heart muslin wrap blanket for a friend, but I have about 4 of these blankets for my little boy, and a bamboo one from aden and anais.	0				
7518	B001TMQ62Y	A14ICB6J8VKTA4	Baby	Hands down this is my favorite, and my sons favorite blanket.	0				
7518	B001TMQ62Y	A14ICB6J8VKTA4	Baby	Its perfect for swaddling because it has just enough stretch from the naturally loosely woven fibers to keep my houdini son in his swaddle.	0				
7518	B001TMQ62Y	A14ICB6J8VKTA4	Baby	Its also lightweight enough to put over a cotton or fleece footie pajama so my son doesnt overheat (we live in Florida).	0				
7518	B001TMQ62Y	A14ICB6J8VKTA4	Baby	It seems to get softer and softer everytime we wash it.	0				
7518	B001TMQ62Y	A14ICB6J8VKTA4	Baby	Its also a perfect burp cloth, impromptu play mat, towel, and carrier cover.	1	Alternative use	yes	both	
7518	B001TMQ62Y	A14ICB6J8VKTA4	Baby	I wish I could buy more because they come in so many cute patterns but they are a little pricey- they are worth it.	0				
6672	B000BBGDHM	A2UCPQZR8W7DP0	Sports & Outdoors	I purchased these expecting them to be my favorite go to riding shorts.	0				
6672	B000BBGDHM	A2UCPQZR8W7DP0	Sports & Outdoors	They are very good shorts, especially with the price.	0				
6672	B000BBGDHM	A2UCPQZR8W7DP0	Sports & Outdoors	However, the Micro Short Padded are a bit more comfortable - I was surprised by this.	0				
6672	B000BBGDHM	A2UCPQZR8W7DP0	Sports & Outdoors	Both are by Canari and both are good buys that I would reccommend.	0				
6981	B000P9SXTG	A2I2KPNJDQ9SL0	Tools & Home Improvement	I prefer this instead of a power-strip if only 2-3 things need to be plugged in.	0				
6981	B000P9SXTG	A2I2KPNJDQ9SL0	Tools & Home Improvement	It is smaller and has no extra wire to get in the way.	0				
6981	B000P9SXTG	A2I2KPNJDQ9SL0	Tools & Home Improvement	Obviously it can handle 3 plugs, but I use it when there is a power adapter and 2 plugs.	0				
6981	B000P9SXTG	A2I2KPNJDQ9SL0	Tools & Home Improvement	There are triple adapter that are in-line (instead of a cube) and that works well to use with 1 power adapter and 1 plug, or 2 power adapters, or 3 plugs.	0				
6981	B000P9SXTG	A2I2KPNJDQ9SL0	Tools & Home Improvement	The in-line look nicer, but it does not have enough space for 2 plugs when used with a power adapter.	1	Warning	yes	before	
6981	B000P9SXTG	A2I2KPNJDQ9SL0	Tools & Home Improvement	Which one to use depends on your need.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	Our infant is about to outgrow his Chicco KeyFit30 seat and I read and researched about all the available convertible-type seats and ended up selecting the Britax Advocate 70 CS.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	The reason why we decided to go with this car seat is that it simply had ALL the features we were looking for - Safety being the top priority, comfort, ease of installation and not to mention stylish!The safety features are simply the best (I wont bore you with all the details since you can read it on the Britax website) - every part of the car seat is well thought out and designed!	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	The car seat is solid (steel frame- nothing feels or looks flimsy!)	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	and well made.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	When I took it out of the box to prep for installation, I read through the instructions, familiarized myself with all the parts, visited the website to look at the how-to videos.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	Once equipped with the information, it was a cinch to install.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	It took me less than 15 mins to get the carseat installed and secured.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	We bought the Cowmooflage design which is whimsical and the fabric is soft and comfortable to the touch.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	The features like the belly pad, the additional cushions/chest pads, chest clip, etc.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	to help ensure a snug and comfortable fit for my child were clever and practical.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	We love the velcro on either side of the seat that holds the straps in place so that you can put your child in the seat easily.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	The height adjusting mechanism is a brilliant idea and a great time saver.	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	Also, you can easily remove the seat cover for washing, without having to uninstall the seat itself!	0				
7869	B003OUWIP8	AB0CU2DSL7XWU	Baby	Another excellent time saving idea!	0				
